index,D
286,0.8222096860408783
287,0.8073885440826416
288,0.788181446492672
289,0.7992867454886436
290,0.7941663935780525
291,0.7943571731448174
292,0.7725073099136353
293,0.8027780652046204
294,0.7802896946668625
295,0.8026631325483322
296,0.8045334294438362
297,0.7915500029921532
298,0.7930480092763901
299,0.7901173979043961
300,0.7823770046234131
301,0.7701996117830276
302,0.7713173478841782
303,0.7773772329092026
304,0.7805102989077568
305,0.8003079518675804
306,0.7736485525965691
307,0.7897906452417374
308,0.7628653720021248
309,0.7575682550668716
310,0.7701922506093979
311,0.7847006991505623
312,0.7732761651277542
313,0.7789158970117569
314,0.7672591283917427
315,0.768522672355175
316,0.7553679868578911
317,0.7757684364914894
318,0.7578072845935822
319,0.7630183547735214
320,0.7842923477292061
321,0.7589166760444641
322,0.7624805048108101
323,0.756038099527359
324,0.7664433866739273
325,0.7774846851825714
326,0.7464090138673782
327,0.7736153304576874
328,0.7780198231339455
329,0.7553690448403358
330,0.7686026319861412
331,0.7566363960504532
332,0.7514853626489639
333,0.7605323567986488
334,0.7674554139375687
335,0.7723143324255943
336,0.7491463869810104
337,0.7683705687522888
338,0.7490525096654892
339,0.7520107254385948
340,0.7592865824699402
341,0.7454299777746201
342,0.7627757117152214
343,0.7456921190023422
344,0.7461688071489334
345,0.7440693825483322
346,0.734455019235611
347,0.7329598590731621
348,0.7484423294663429
349,0.7429214194417
350,0.7446721121668816
351,0.765188679099083
352,0.7586091831326485
353,0.7448470145463943
354,0.7405539900064468
355,0.7482681125402451
356,0.7427777051925659
357,0.7286994531750679
358,0.7614426463842392
359,0.7413652762770653
360,0.7302687466144562
361,0.7223392575979233
362,0.7119538933038712
363,0.7094968929886818
364,0.7102957367897034
365,0.7180673182010651
366,0.7158307656645775
367,0.709321990609169
368,0.6978191137313843
369,0.7266978323459625
370,0.7010206952691078
371,0.715540312230587
372,0.7025691643357277
373,0.7093751728534698
374,0.7042881473898888
375,0.7308212071657181
376,0.7156274691224098
377,0.7222067788243294
378,0.716438502073288
379,0.7201279848814011
380,0.750945694744587
381,0.7385091558098793
382,0.759374313056469
383,0.748351514339447
384,0.7501529529690742
385,0.7392981350421906
386,0.7332005873322487
387,0.7483521029353142
388,0.7411727607250214
389,0.7418675795197487
390,0.7362235933542252
391,0.7248634621500969
392,0.72557432949543
393,0.7260353192687035
394,0.7134856581687927
395,0.7384166643023491
396,0.7128873914480209
397,0.7317130714654922
398,0.7258678078651428
399,0.7326353490352631
400,0.7262864783406258
401,0.7311309799551964
402,0.7430726885795593
403,0.7202394530177116
404,0.7254330292344093
405,0.7377834618091583
406,0.7358429357409477
407,0.7279273569583893
408,0.7273098826408386
409,0.7309674546122551
410,0.7492094561457634
411,0.7321049124002457
412,0.7213810458779335
413,0.7315212860703468
414,0.7236211970448494
415,0.7408729419112206
416,0.727297730743885
417,0.7334398403763771
418,0.7346024811267853
419,0.7062774896621704
420,0.7324262708425522
421,0.746100902557373
422,0.7227890640497208
423,0.7227400690317154
424,0.7374124079942703
425,0.72169329226017
426,0.7207337319850922
427,0.7232708856463432
428,0.7194851264357567
429,0.716294027864933
430,0.7102542221546173
431,0.7199463248252869
432,0.7176786661148071
433,0.706298366189003
434,0.7165641337633133
435,0.7271160259842873
436,0.7233278378844261
437,0.7142724469304085
438,0.7185509502887726
439,0.6970632448792458
440,0.7190723568201065
441,0.715169683098793
442,0.7190548852086067
443,0.7089748904109001
444,0.7146793603897095
445,0.7247642129659653
446,0.7122333198785782
447,0.7216202169656754
448,0.711035281419754
449,0.7033180221915245
450,0.7320869266986847
451,0.7340709418058395
452,0.7288254871964455
