index,total_lossess
170,1.5560197924004227
171,1.5549896890608992
172,1.553965564164959
173,1.5529472251016585
174,1.5519345868220094
175,1.5509273691646388
176,1.5499252669537653
177,1.5489281701259927
178,1.547936216260566
179,1.5469494003546043
180,1.5459680150766844
181,1.5449919603691726
182,1.5440213412925845
183,1.543055997754707
184,1.542095857213755
185,1.5411407495717533
186,1.54019033963563
187,1.5392445223448705
188,1.5383029324891138
189,1.5373654825179304
190,1.536432074875128
191,1.535502987220639
192,1.5345786422979637
193,1.5336592952540664
194,1.5327451887287078
195,1.5318360025374615
196,1.530931604103964
197,1.5300318833648183
198,1.5291365376456838
199,1.5282454168601114
200,1.5273583584144468
201,1.5264752072193586
202,1.5255958031826333
203,1.524719973704854
204,1.5238475862096568
205,1.5229786782186538
206,1.522112949558946
207,1.521250525302574
208,1.5203912503602075
209,1.5195351372390495
210,1.5186820958872311
211,1.5178320837802572
212,1.516985055892194
213,1.5161409546899014
214,1.5152997201387999
215,1.514461362244653
216,1.513625708408043
217,1.512792808657787
218,1.5119625604348104
219,1.5111350137679305
220,1.5103100535908682
221,1.5094877299324412
222,1.5086679502393379
223,1.5078507320216445
224,1.507035985227491
225,1.506223629810771
226,1.505413493172067
227,1.5046054227234889
228,1.5037990982806095
229,1.5029943297339268
230,1.5021910620517418
231,1.5013897930207798
232,1.5005910779609055
233,1.499795542232326
234,1.4990034584920915
235,1.4982147792128264
236,1.4974293092821467
237,1.4966469386366545
238,1.4958673220775165
239,1.4950903945672707
240,1.4943159009589524
241,1.4935439363073129
242,1.4927742529697106
243,1.4920067709000384
244,1.4912414725882106
245,1.4904782604780353
246,1.4897170970478997
247,1.4889579047531378
248,1.4882007161124806
249,1.4874454785956712
250,1.4866922147156763
251,1.4859408619364753
252,1.4851915503329918
253,1.4844441173115714
254,1.483698625408235
255,1.4829550195912844
256,1.482213177290119
257,1.481473080994653
258,1.4807347206991226
259,1.4799981889568392
260,1.4792636433585744
261,1.4785311839619621
262,1.4778007082079279
263,1.477072193583504
264,1.4763456701059812
